Player,Player_ID,Player_NFL_Link,Player_NCAA_Link
Drew Bledsoe,BledDr00,http://www.pro-football-reference.com/players/B/BledDr00.htm,http://www.sports-reference.com/cfb/players/drew-bledsoe-1.html
Rick Mirer,MireRi00,http://www.pro-football-reference.com/players/M/MireRi00.htm,http://www.sports-reference.com/cfb/players/rick-mirer-1.html
Garrison Hearst,HearGa00,http://www.pro-football-reference.com/players/H/HearGa00.htm,http://www.sports-reference.com/cfb/players/garrison-hearst-1.html
Marvin Jones,JoneMa23,http://www.pro-football-reference.com/players/J/JoneMa23.htm,http://www.sports-reference.com/cfb/players/marvin-jones-2.html
John Copeland,CopeJo20,http://www.pro-football-reference.com/players/C/CopeJo20.htm,http://www.sports-reference.com/cfb/players/john-copeland-1.html
Eric Curry,CurrEr20,http://www.pro-football-reference.com/players/C/CurrEr20.htm,http://www.sports-reference.com/cfb/players/eric-curry-1.html
Curtis Conway,ConwCu00,http://www.pro-football-reference.com/players/C/ConwCu00.htm,http://www.sports-reference.com/cfb/players/curtis-conway-1.html
Willie Roaf,RoafWi00,http://www.pro-football-reference.com/players/R/RoafWi00.htm,http://www.sports-reference.com/cfb/players/willie-roaf-1.html
Lincoln Kennedy,KennLi00,http://www.pro-football-reference.com/players/K/KennLi00.htm,http://www.sports-reference.com/cfb/players/lincoln-kennedy-1.html
Jerome Bettis,BettJe00,http://www.pro-football-reference.com/players/B/BettJe00.htm,http://www.sports-reference.com/cfb/players/jerome-bettis-1.html
Dan Williams,WillDa20,http://www.pro-football-reference.com/players/W/WillDa20.htm,
Patrick Bates,BatePa20,http://www.pro-football-reference.com/players/B/BatePa20.htm,
Brad Hopkins,HopkBr00,http://www.pro-football-reference.com/players/H/HopkBr00.htm,
Steve Everitt,EverSt20,http://www.pro-football-reference.com/players/E/EverSt20.htm,
Wayne Simmons,SimmWa20,http://www.pro-football-reference.com/players/S/SimmWa20.htm,
Sean Dawkins,DawkSe00,http://www.pro-football-reference.com/players/D/DawkSe00.htm,http://www.sports-reference.com/cfb/players/sean-dawkins-2.html
Tom Carter,CartTo20,http://www.pro-football-reference.com/players/C/CartTo20.htm,
Ernest Dye,DyexEr20,http://www.pro-football-reference.com/players/D/DyexEr20.htm,
Lester Holmes,HolmLe20,http://www.pro-football-reference.com/players/H/HolmLe20.htm,
Irv Smith,SmitIr00,http://www.pro-football-reference.com/players/S/SmitIr00.htm,http://www.sports-reference.com/cfb/players/irv-smith-1.html
Robert Smith,SmitRo00,http://www.pro-football-reference.com/players/S/SmitRo00.htm,http://www.sports-reference.com/cfb/players/robert-smith-6.html
Darrien Gordon,GordDa20,http://www.pro-football-reference.com/players/G/GordDa20.htm,
Deon Figures,FiguDe20,http://www.pro-football-reference.com/players/F/FiguDe20.htm,http://www.sports-reference.com/cfb/players/deon-figures-1.html
Leonard Renfro,RenfLe20,http://www.pro-football-reference.com/players/R/RenfLe20.htm,
O.J. McDuffie,McDuO.00,http://www.pro-football-reference.com/players/M/McDuO.00.htm,http://www.sports-reference.com/cfb/players/oj-mcduffie-1.html
Dana Stubblefield,StubDa00,http://www.pro-football-reference.com/players/S/StubDa00.htm,
Todd Kelly,KellTo20,http://www.pro-football-reference.com/players/K/KellTo20.htm,
Thomas Smith,SmitTh21,http://www.pro-football-reference.com/players/S/SmitTh21.htm,
George Teague,TeagGe20,http://www.pro-football-reference.com/players/T/TeagGe20.htm,
Player,,http://www.pro-football-reference.com,
Carlton Gray,GrayCa20,http://www.pro-football-reference.com/players/G/GrayCa20.htm,http://www.sports-reference.com/cfb/players/carlton-gray-1.html
Chris Slade,SladCh00,http://www.pro-football-reference.com/players/S/SladCh00.htm,http://www.sports-reference.com/cfb/players/chris-slade-1.html
Ben Coleman,ColeBe20,http://www.pro-football-reference.com/players/C/ColeBe20.htm,
