Draft_Yr,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Rush_Att,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Solo,Def_Int,Sk,College,,Player_NFL_Link,Player_NCAA_Link
1993,1,1,NWE,Drew Bledsoe,QB,21,2006,0,4,12,103,71,194,3839,6717,44611,251,206,385,764,10,1,-9,0,,,,Washington St.,College Stats,/players/B/BledDr00.htm,http://www.sports-reference.com/cfb/players/drew-bledsoe-1.html
1993,1,2,SEA,Rick Mirer,QB,23,2003,0,0,5,32,27,80,1088,2043,11969,50,76,242,1130,9,0,0,0,,,,Notre Dame,College Stats,/players/M/MireRi00.htm,http://www.sports-reference.com/cfb/players/rick-mirer-1.html
1993,1,3,PHO,Garrison Hearst,RB,22,2004,0,2,7,71,7,126,2,4,26,1,1,1831,7966,30,229,2065,9,,,,Georgia,College Stats,/players/H/HearGa00.htm,http://www.sports-reference.com/cfb/players/garrison-hearst-1.html
1993,1,4,NYJ,Marvin Jones,LB,21,2003,0,0,9,52,52,142,0,0,0,0,0,0,0,0,0,0,0,,5,9.0,Florida St.,College Stats,/players/J/JoneMa23.htm,http://www.sports-reference.com/cfb/players/marvin-jones-2.html
1993,1,5,CIN,John Copeland,DE,22,2000,0,0,6,38,38,107,0,0,0,0,0,0,0,0,0,0,0,,3,24.0,Alabama,College Stats,/players/C/CopeJo20.htm,http://www.sports-reference.com/cfb/players/john-copeland-1.html
1993,1,6,TAM,Eric Curry,DE,23,1999,0,0,3,19,18,75,0,0,0,0,0,0,0,0,0,0,0,,,12.5,Alabama,College Stats,/players/C/CurrEr20.htm,http://www.sports-reference.com/cfb/players/eric-curry-1.html
1993,1,7,CHI,Curtis Conway,WR,22,2004,0,0,9,61,36,167,2,5,56,2,0,50,465,3,594,8230,52,,,,USC,College Stats,/players/C/ConwCu00.htm,http://www.sports-reference.com/cfb/players/curtis-conway-1.html
1993,1,8,NOR,Willie Roaf,T,23,2005,4,11,12,107,61,189,0,0,0,0,0,0,0,0,0,0,0,,,,Louisiana Tech,College Stats,/players/R/RoafWi00.htm,http://www.sports-reference.com/cfb/players/willie-roaf-1.html
1993,1,9,ATL,Lincoln Kennedy,T,22,2003,1,3,9,76,9,169,0,0,0,0,0,0,0,0,0,0,0,,,,Washington,College Stats,/players/K/KennLi00.htm,http://www.sports-reference.com/cfb/players/lincoln-kennedy-1.html
1993,1,10,RAM,Jerome Bettis,RB,21,2005,2,6,11,80,19,192,3,6,63,3,1,3479,13662,91,200,1449,3,,,,Notre Dame,College Stats,/players/B/BettJe00.htm,http://www.sports-reference.com/cfb/players/jerome-bettis-1.html
1993,1,11,DEN,Dan Williams,DE,23,2000,0,0,2,31,16,87,0,0,0,0,0,0,0,0,0,0,0,,1,27.0,Toledo,,/players/W/WillDa20.htm,
1993,1,12,RAI,Patrick Bates,DB,22,1996,0,0,1,8,5,44,0,0,0,0,0,0,0,0,0,0,0,,1,,Texas A&M,,/players/B/BatePa20.htm,
1993,1,13,HOU,Brad Hopkins,T,23,2005,0,2,13,70,70,194,0,0,0,0,0,0,0,0,0,0,0,,,,Illinois,,/players/H/HopkBr00.htm,
1993,1,14,CLE,Steve Everitt,C,23,2000,0,0,6,36,19,103,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,,/players/E/EverSt20.htm,
1993,1,15,GNB,Wayne Simmons,LB,23,1998,0,0,4,33,24,90,0,0,0,0,0,0,0,0,0,0,0,,3,11.5,Clemson,,/players/S/SimmWa20.htm,
1993,1,16,IND,Sean Dawkins,WR,22,2001,0,0,6,48,28,140,0,0,0,0,0,0,0,0,445,6291,25,,,,California,College Stats,/players/D/DawkSe00.htm,http://www.sports-reference.com/cfb/players/sean-dawkins-2.html
1993,1,17,WAS,Tom Carter,DB,21,2001,0,0,6,35,21,118,0,0,0,0,0,0,0,0,0,0,0,,27,,Notre Dame,,/players/C/CartTo20.htm,
1993,1,18,PHO,Ernest Dye,T,22,1997,0,0,2,10,10,50,0,0,0,0,0,0,0,0,0,0,0,,,,South Carolina,,/players/D/DyexEr20.htm,
1993,1,19,PHI,Lester Holmes,G,23,2000,0,0,6,38,17,102,0,0,0,0,0,0,0,0,0,0,0,,,,Jackson St.,,/players/H/HolmLe20.htm,
1993,1,20,NOR,Irv Smith,TE,21,1999,0,0,5,14,10,95,0,0,0,0,0,0,0,0,183,1788,15,,,,Notre Dame,College Stats,/players/S/SmitIr00.htm,http://www.sports-reference.com/cfb/players/irv-smith-1.html
1993,1,21,MIN,Robert Smith,RB,21,2000,0,2,6,61,61,98,0,0,0,0,0,1411,6818,32,178,1292,6,,,,Ohio St.,College Stats,/players/S/SmitRo00.htm,http://www.sports-reference.com/cfb/players/robert-smith-6.html
1993,1,22,SDG,Darrien Gordon,DB,22,2002,0,0,3,44,15,138,0,0,0,0,0,0,0,0,0,0,0,,19,5.0,Stanford,,/players/G/GordDa20.htm,
1993,1,23,PIT,Deon Figures,DB,23,1998,0,0,2,20,12,93,0,0,0,0,0,0,0,0,0,0,0,,9,1.0,Colorado,College Stats,/players/F/FiguDe20.htm,http://www.sports-reference.com/cfb/players/deon-figures-1.html
1993,1,24,PHI,Leonard Renfro,DT,23,1994,0,0,0,3,3,23,0,0,0,0,0,0,0,0,0,0,0,,,,Colorado,,/players/R/RenfLe20.htm,
1993,1,25,MIA,O.J. McDuffie,WR,23,2000,0,0,5,44,44,116,0,0,0,0,0,15,49,0,415,5074,29,,,,Penn St.,College Stats,/players/M/McDuO.00.htm,http://www.sports-reference.com/cfb/players/oj-mcduffie-1.html
1993,1,26,SFO,Dana Stubblefield,DT,22,2003,1,3,9,72,57,154,0,0,0,0,0,0,0,0,0,0,0,,2,53.5,Kansas,,/players/S/StubDa00.htm,
1993,1,27,SFO,Todd Kelly,LB,22,1996,0,0,0,5,4,45,0,0,0,0,0,0,0,0,0,0,0,,,5.5,Tennessee,,/players/K/KellTo20.htm,
